1521,1515,6,1617,1.0,1,238.0,0.009198265502416671,60.0,7.682735607793427e-06,2198270.2608732213,0.2924133142830706
1551,1545,6,1647,1.0,1,276.0,0.0043160576511542485,60.0,8.757177445047718e-06,13719857.494225908,0.21702999926253264
1581,1575,6,1677,1.0,1,282.0,0.008939707454653601,60.0,4.584099652606039e-06,12529496.63229164,0.2996538634830468
1611,1605,6,1707,1.0,1,264.0,0.007758169414762296,60.0,8.563611020867835e-06,16594842.838451648,0.22167666993089144
1641,1635,6,1737,1.0,1,232.0,0.006762462306786606,60.0,5.306765181382071e-06,19826944.866515044,0.20250129720168838
1671,1665,6,1767,1.0,1,297.0,0.005298979067483937,60.0,8.523456495804761e-06,19727295.54391872,0.23785959935409776
1701,1695,6,1797,1.0,1,219.0,0.005618109365956572,60.0,9.629328834699058e-06,12995953.722521875,0.2516892519764585
1731,1725,6,1827,1.0,1,261.0,0.005359220764231017,60.0,8.068433607099344e-06,6730813.922440938,0.2729110268004281
1761,1755,6,1857,1.0,1,234.0,0.003291970664333242,60.0,5.5732883681238275e-06,14789593.718681533,0.22931816746443484
1791,1785,6,1887,1.0,1,223.0,0.002159419065261757,60.0,8.556921115582316e-06,17475760.937430497,0.29654763572548193
1821,1815,6,1917,1.0,1,284.0,0.005762240871652771,60.0,7.69477366788728e-06,19433344.033124,0.2705427687536175
1851,1845,6,1947,1.0,1,274.0,0.0015285386899828416,60.0,2.7604710813941597e-06,18482061.918285776,0.2071502957734313
1881,1875,6,1977,1.0,1,285.0,0.005217696026068867,60.0,2.570608173587863e-06,1695297.8887033416,0.2431644269734039
1911,1905,6,2007,1.0,1,292.0,0.0021265110107699927,60.0,6.96647522238568e-06,8995771.545917716,0.2239086823679316
1941,1935,6,2037,1.0,1,253.0,0.005766922575776727,60.0,4.993288036962606e-06,14878401.78248572,0.256524648832668
1971,1965,6,2067,1.0,1,225.0,0.006164385352105819,60.0,3.7959740448176045e-06,6056796.512776452,0.20060938306735582
2001,1995,6,2097,1.0,1,214.0,0.0019080600664273934,60.0,7.224608305073638e-06,2510611.177004872,0.21068385264928252
2031,2022,9,2175,1.0,1,290.0,0.002998266131735532,60.0,9.349301959298938e-06,6835462.201982305,0.2539170572373515
2061,2052,9,2205,1.0,1,220.0,0.00217528349040382,60.0,8.608416314572478e-06,16021332.670517439,0.29473489251267404
2091,2082,9,2235,1.0,1,239.0,0.004348298139399805,60.0,2.166693163506614e-06,17396654.71347443,0.2064516504757299
2121,2112,9,2265,1.0,1,218.0,0.004043815953867843,60.0,7.431044369087569e-06,16955495.11773879,0.2802117434024183
2151,2142,9,2295,1.0,1,220.0,0.0011009867997278028,60.0,9.302488622190362e-06,11644510.326618461,0.28059690889364186
2181,2172,9,2325,1.0,1,219.0,0.0012947975895087043,60.0,8.94491840169496e-06,5885348.981525823,0.2931536923608465
2211,2197,14,2435,1.0,1,240.0,0.003576753766740635,60.0,5.929218289872715e-06,6595957.322511869,0.29978387448564364
2241,2225,16,2497,1.0,1,227.0,0.007700047082352185,60.0,5.6197286348312155e-06,18423999.475348204,0.27048107654547715
2271,2255,16,2527,1.0,1,244.0,0.009541065786584361,60.0,9.527186489412712e-06,9509589.031306775,0.28558542283515875
2301,2285,16,2557,1.0,1,242.0,0.001169698334202036,60.0,2.7032988852150554e-06,13898532.66712045,0.23264183558687582
2331,2315,16,2587,1.0,1,267.0,0.00526846762770635,60.0,2.2893551877876392e-06,19285977.710501045,0.2885681925614521
2361,2345,16,2617,1.0,1,287.0,0.009797831249509469,60.0,7.595402577113797e-06,18794635.15812413,0.2471888025183167
2391,2375,16,2647,1.0,1,222.0,0.0031445806543637764,60.0,5.049015797116128e-06,12350264.083710777,0.25630584482115554
2421,2402,19,2725,1.0,1,281.0,0.007099893745712041,60.0,5.866955174838122e-06,11644461.950351762,0.2929365838530139
2451,2432,19,2755,1.0,1,288.0,0.0017582809023950104,60.0,7.950301847771686e-06,6388562.318144087,0.27579032774904494
2481,2456,25,2881,0.352263290304558,1,207.0,0.007830498791950063,60.0,5.253479551515707e-06,11547106.352797331,0.25961663820114017
2511,2486,25,2911,1.0,1,256.0,0.00553360846198584,60.0,8.083048190427454e-06,5998693.959469895,0.2707836966995896
2541,2501,40,3181,0.2051821102880498,1,212.0,0.007284443296909242,60.0,8.60672348424985e-06,16096693.577813346,0.21162943949325339
2571,2531,40,3211,1.0,1,272.0,0.00745333967218578,60.0,7.852412573633323e-06,9498230.83470095,0.24288413894695982
2601,2557,44,3305,0.1663437884077081,1,233.0,0.006745788982791077,60.0,4.280016736835306e-06,18116036.580049276,0.28335142629962423
2631,2587,44,3335,1.0,1,214.0,0.0014109231607878456,60.0,8.943275422146906e-06,2660774.301850378,0.22230490642376147
2642,2593,49,3426,0.19010871106999352,2,296.0,0.0032626496105806523,60.0,2.4072136193629765e-06,8801206.654224373,0.24328497075846883
2672,2622,50,3472,1.0,2,298.0,0.008203790947917157,60.0,5.062806955388334e-06,10643228.365384325,0.23214776991906247
2702,2652,50,3502,1.0,2,202.0,0.0034953481692969308,60.0,8.07149695576313e-06,13544263.237218654,0.2595949390243944
2732,2677,55,3612,1.0,2,251.0,0.001166126552810955,60.0,3.868991252406375e-06,19111471.41638473,0.21383092275948162
2762,2707,55,3642,1.0,2,217.0,0.008756133908534865,60.0,3.178104827393842e-06,7479767.638252356,0.26548768268455686
2792,2737,55,3672,1.0,2,218.0,0.0029574804758250727,60.0,8.449893111745399e-06,9537521.769555323,0.25825821315166114
2813,2751,62,3805,0.2264023812399931,3,267.0,0.006370148648954854,60.0,2.688275350829102e-06,5863054.991274588,0.2971959993537055
2843,2781,62,3835,1.0,3,214.0,0.009900833147832518,60.0,9.244550165219182e-06,1728713.7463033842,0.2223301273713152
2862,2793,69,3966,0.17096389739138318,3,256.0,0.006879220704751391,60.0,5.95126078116687e-06,1401478.8331684326,0.20595488301029996
2892,2808,84,4236,0.3169838938219865,3,203.0,0.003779549112132501,60.0,9.855084842389751e-06,15392070.453984564,0.23525583684306944
2922,2838,84,4266,1.0,3,248.0,0.005815995616274084,60.0,5.259511369105577e-06,18356793.29886506,0.20411468105788078
2952,2868,84,4296,1.0,3,204.0,0.0018041850165382075,60.0,5.9679854327480436e-06,8419703.165212294,0.2760355557005608
2982,2875,107,4694,0.17185765038998543,3,215.0,0.007776227918068456,60.0,6.7583258950268465e-06,5297781.902628519,0.22274298362336928
3004,2894,110,4764,0.18014994992975739,4,257.0,0.0069723790008902895,60.0,5.3405243633533325e-06,13234671.481689172,0.23016735105247643
3034,2924,110,4794,1.0,4,276.0,0.0022756897290391754,60.0,3.2582521459198182e-06,11247933.745597757,0.22721177798379932
3051,2936,115,4891,0.1887858773510601,4,269.0,0.004299132043660144,60.0,9.12513209238449e-06,16111658.090382705,0.21014286069847948
3081,2964,117,4953,1.0,4,252.0,0.007169513125994267,60.0,2.462654394208406e-06,6620165.726890862,0.24410903266455586
3095,2976,119,4999,0.14385806780482663,5,238.0,0.004253133270399693,60.0,9.515958576291443e-06,12419240.796277465,0.2209796622641668
3125,3005,120,5045,1.0,5,273.0,0.002601256941718413,60.0,3.170393829544559e-06,7064281.789280964,0.2935659629862383
3137,3014,123,5105,0.18981390665131587,6,252.0,0.007037501531498749,60.0,5.139191807018034e-06,11873201.893497922,0.2842852576039672
3167,3041,126,5183,0.14443025539473942,7,289.0,0.00881986097042678,60.0,3.3178726215866573e-06,7191972.715472873,0.27280315791834026
3197,3069,128,5245,1.0,7,282.0,0.009776810077648735,60.0,5.040611749599263e-06,14059820.19532948,0.22067302357012056
